site,lat,lat,long,long,lab,age,std,Exclude,country_state,region,original_affiliation,culture,context,source
Prainha de Pedra,0.853,0.853,-51.303,-51.303,Poz-162170,495,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,This paper
Paredão Leste,0.909,0.909,-51.226,-51.226,Poz-162174,455,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,This paper
Laranjal do Jari 1,-0.822427,-0.822427,-52.51526,-52.51526,Beta 409496,1180,30,Yes,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 1,-0.822427,-0.822427,-52.51526,-52.51526,Beta 409484,880,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 1,-0.822427,-0.822427,-52.51526,-52.51526,non-mentioned,790,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 1,-0.822427,-0.822427,-52.51526,-52.51526,Beta 290847,660,40,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 1,-0.822427,-0.822427,-52.51526,-52.51526,Beta 398066,610,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 1,-0.822427,-0.822427,-52.51526,-52.51526,Beta 409485,600,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 1,-0.822427,-0.822427,-52.51526,-52.51526,Beta 409497,530,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 2,-0.835445,-0.835445,-52.507466,-52.507466,non-mentioned,740,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 2,-0.835445,-0.835445,-52.507466,-52.507466,Poz-162392,685,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,This paper
Laranjal do Jari 2,-0.835445,-0.835445,-52.507466,-52.507466,Poz-162394,590,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,This paper
Laranjal do Jari 2,-0.835445,-0.835445,-52.507466,-52.507466,Poz-162395,585,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,This paper
Barcarena 1,-1.5172,-1.5172,-48.567157,-48.567157,non-mentioned,960,60,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Unknown,Panachuk 2014
Curiau Mirim,0.100407,0.100407,-51.036693,-51.036693,non-mentioned,720,30,No,Amapá,4-Amapa-Estuary,Koriabo-Caviana-Mazagão,1 - Koriabo,Ceramic Trade,Gambim-Junior 2016
Curiau Mirim,0.100407,0.100407,-51.036693,-51.036693,Beta 433345,660,30,No,Amapá,4-Amapa-Estuary,Koriabo-Caviana-Mazagão,1 - Koriabo,Ceramic Trade,Gambim-Junior 2016
Curiau Mirim,0.100407,0.100407,-51.036693,-51.036693,Beta 433346,630,30,No,Amapá,4-Amapa-Estuary,Koriabo-Caviana-Mazagão,1 - Koriabo,Ceramic Trade,Gambim-Junior 2016
Curiau Mirim,0.100407,0.100407,-51.036693,-51.036693,Poz-162396,435,30,No,Amapá,4-Amapa-Estuary,Koriabo-Caviana-Mazagão,1 - Koriabo,Ceramic Trade,Gambim-Junior 2016
Curiau Mirim,0.100407,0.100407,-51.036693,-51.036693,Beta 433347,360,30,No,Amapá,4-Amapa-Estuary,Koriabo-Caviana-Mazagão,1 - Koriabo,Ceramic Trade,Gambim-Junior 2016
CTUEAP,-0.034163,-0.034163,-51.082337,-51.082337,Poz-162398,660,30,No,Amapá,4-Amapa-Estuary,Koriabo-Mazagão,1 - Koriabo,Ceramic Trade,This paper
CTUEAP,-0.034163,-0.034163,-51.082337,-51.082337,Poz-162399,665,30,No,Amapá,4-Amapa-Estuary,Koriabo-Mazagão,1 - Koriabo,Ceramic Trade,This paper
Ibama,-1.87,-1.87,-51.439,-51.439,-,850,40,No,Pará,5-LA/Xingu-Iriri,Koriabo,1 - Koriabo,Settlement,Silva 2018
Ibama,-1.87,-1.87,-51.439,-51.439,-,580,20,No,Pará,5-LA/Xingu-Iriri,Koriabo,1 - Koriabo,Settlement,Silva 2018
PA-MT-59 Coroata,-2.06926,-2.06926,-54.173422,-54.173422,Beta 349952,590,30,No,Pará,5-LA/Xingu-Iriri,Koriabo-Santarém,1 - Koriabo,Hybrid,Barreto and Nascimento 2016
PA-AL-17 Criajo,-2.723221,-2.723221,-51.940133,-51.940133,Beta 17145,910,60,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-17 Criajo,-2.723221,-2.723221,-51.940133,-51.940133,Beta 17147,890,70,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-17 Criajo,-2.723221,-2.723221,-51.940133,-51.940133,Beta 17146,790,80,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-17 Criajo,-2.723221,-2.723221,-51.940133,-51.940133,Beta 17144,620,70,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-17 Criajo,-2.723221,-2.723221,-51.940133,-51.940133,SI-3512,530,60,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,-3.662967,-3.662967,-52.424232,-52.424232,Beta 17130,640,80,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,-3.662967,-3.662967,-52.424232,-52.424232,Beta 17133,600,70,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,-3.662967,-3.662967,-52.424232,-52.424232,Beta 17132,570,80,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,-3.662967,-3.662967,-52.424232,-52.424232,SI-4344,485,90,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,-3.662967,-3.662967,-52.424232,-52.424232,Beta 17131,460,50,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
