site,lab,age,std,Exclude,country_state,region,original_affiliation,culture,context,source
Laranjal do Jari 1,Beta 409484,880,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 1,non-mentioned,790,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 1,Beta 290847,660,40,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 1,Beta 398066,610,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 1,Beta 409485,600,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 1,Beta 409497,530,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 2,non-mentioned,740,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
Laranjal do Jari 2,Poz-162392,685,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,This paper
Laranjal do Jari 2,Poz-162394,590,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,This paper
Laranjal do Jari 2,Poz-162395,585,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,This paper
Barcarena 1,non-mentioned,960,60,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Unknown,Panachuk 2014
Curiau Mirim,non-mentioned,720,30,No,Amapá,4-Amapa-Estuary,Koriabo-Caviana-Mazagão,1 - Koriabo,Ceramic Trade,Gambim-Junior 2016
Curiau Mirim,Beta 433345,660,30,No,Amapá,4-Amapa-Estuary,Koriabo-Caviana-Mazagão,1 - Koriabo,Ceramic Trade,Gambim-Junior 2016
Curiau Mirim,Beta 433346,630,30,No,Amapá,4-Amapa-Estuary,Koriabo-Caviana-Mazagão,1 - Koriabo,Ceramic Trade,Gambim-Junior 2016
Curiau Mirim,Poz-162396,435,30,No,Amapá,4-Amapa-Estuary,Koriabo-Caviana-Mazagão,1 - Koriabo,Ceramic Trade,Gambim-Junior 2016
Curiau Mirim,Beta 433347,360,30,No,Amapá,4-Amapa-Estuary,Koriabo-Caviana-Mazagão,1 - Koriabo,Ceramic Trade,Gambim-Junior 2016
CTUEAP,Poz-162398,660,30,No,Amapá,4-Amapa-Estuary,Koriabo-Mazagão,1 - Koriabo,Ceramic Trade,This paper
CTUEAP,Poz-162399,665,30,No,Amapá,4-Amapa-Estuary,Koriabo-Mazagão,1 - Koriabo,Ceramic Trade,This paper
Ibama,-,850,40,No,Pará,5-LA/Xingu-Iriri,Koriabo,1 - Koriabo,Settlement,Silva 2018
Ibama,-,580,20,No,Pará,5-LA/Xingu-Iriri,Koriabo,1 - Koriabo,Settlement,Silva 2018
PA-MT-59 Coroata,Beta 349952,590,30,No,Pará,5-LA/Xingu-Iriri,Koriabo-Santarém,1 - Koriabo,Hybrid,Barreto and Nascimento 2016
PA-AL-17 Criajo,Beta 17145,910,60,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-17 Criajo,Beta 17147,890,70,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-17 Criajo,Beta 17146,790,80,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-17 Criajo,Beta 17144,620,70,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-17 Criajo,SI-3512,530,60,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,Beta 17130,640,80,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,Beta 17133,600,70,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,Beta 17132,570,80,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,SI-4344,485,90,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,Beta 17131,460,50,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,Beta 17128,400,90,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,SI-4345,275,75,Yes,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-39 Itapinima,Beta 17129,270,60,Yes,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-13 Boa Vista II,Beta 17124,770,80,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-13 Boa Vista II,SI-3509,585,60,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-15 Cacarapi II,Beta 17126,800,70,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-AL-15 Cacarapi II,SI-3512,520,55,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
PA-BI-04 Cachoeira Grande,SI 4351,600,60,No,Pará,5-LA/Xingu-Iriri,Cacarapi,1 - Koriabo,Settlement,Perota 1992
Palmeiras,MAMS-43998,477,21,No,Pará,5-LA/Xingu-Iriri,Koriabo-Tupiguarani,1 - Koriabo,Settlement,Ferraz et al. 2023
Palmeiras,Beta-552227,810,30,No,Pará,5-LA/Xingu-Iriri,Koriabo-Tupiguarani,1 - Koriabo,Settlement,Scientia 2020
Vila Rica 2,Beta-554251,850,30,No,Pará,5-LA/Xingu-Iriri,Koriabo,1 - Koriabo,Settlement,Castro et al. 2020
Santo Antonio 10,OxA-33034,843,27,No,Pará,5-LA/Xingu-Iriri,Koriabo,1 - Koriabo,Unknown,Müller et al 2016
